,timestamp,soil_texture,scenario,r,rOld,kp,ki,irrigation_strategy,irrigation_frequency,delta,deltaOld,et0,opt_avg,obs_avg,daily_pluv
120,1625986800,silty,2021,0.2600629739971998,0.0,10.0,3.0,ET0,2,7.91,0.0,7.909412676835701,4.71830645976308,4.97836943376028,0.0
121,1626073200,silty,2021,0.2856971939961295,0.2600629739971998,10.0,3.0,ET0,2,0.0,7.91,8.171899400888595,4.71830645976308,5.004003653759209,0.0
122,1626159600,silty,2021,0.4417319511227248,0.2600629739971998,10.0,3.0,ET0,2,15.48,7.91,7.307248568315713,4.71830645976308,5.160038410885805,49.2
123,1626246000,silty,2021,-0.8026669487743242,0.4417319511227248,10.0,3.0,ET0,2,0.0,15.48,3.7200181370317593,4.71830645976308,4.070922966772382,0.0
124,1626332400,silty,2021,-0.6825461436421562,0.4417319511227248,10.0,3.0,ET0,2,10.31,15.48,6.588938290136868,4.71830645976308,4.035760316120924,0.0
125,1626418800,silty,2021,-0.7822692422360115,-0.6825461436421562,10.0,3.0,ET0,2,0.0,10.31,4.2070949143533625,4.71830645976308,3.991793977135217,10.8
126,1626505200,silty,2021,-0.9476895857920266,-0.6825461436421562,10.0,3.0,ET0,2,5.93,10.31,1.7206288405645938,4.71830645976308,3.777182984958357,0.8
127,1626591600,silty,2021,-1.0039821050305524,-0.9476895857920266,10.0,3.0,ET0,2,0.0,5.93,2.339819333016992,4.71830645976308,3.7297913211057874,0.0
128,1626678000,silty,2021,-0.7624620419846344,-0.9476895857920266,10.0,3.0,ET0,2,7.88,5.93,5.542148180411579,4.71830645976308,3.955844417778446,0.0
129,1626764400,silty,2021,-0.6715531828823393,-0.7624620419846344,10.0,3.0,ET0,2,0.0,7.88,6.336708517861463,4.71830645976308,4.051456723606321,0.0
130,1626850800,silty,2021,-0.3651105564837511,-0.7624620419846344,10.0,3.0,ET0,2,14.06,7.88,7.723088615724408,4.71830645976308,4.353195903279329,0.0
131,1626937200,silty,2021,-0.413539446191324,-0.3651105564837511,10.0,3.0,ET0,2,0.0,14.06,6.384988487195638,4.71830645976308,4.341363724676863,0.0
132,1627023600,silty,2021,-0.2286037175924666,-0.3651105564837511,10.0,3.0,ET0,2,13.11,14.06,6.724001721462045,4.71830645976308,4.489702742170613,0.0
133,1627110000,silty,2021,-0.2928982306071302,-0.2286037175924666,10.0,3.0,ET0,2,0.0,13.11,6.639604206034317,4.71830645976308,4.462761009103392,0.0
134,1627196400,silty,2021,-0.1431169869221456,-0.2286037175924666,10.0,3.0,ET0,2,12.71,13.11,6.068344799075018,4.71830645976308,4.575189472840934,0.0
